#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.metazoa_alignment" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:metazoa_alignment" name="distribution">
#            <parameter id="gammaShape.s:metazoa_alignment" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:metazoa_alignment" name="distribution">
#            <parameter id="kappa.s:metazoa_alignment" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="Plankina-Grantia.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Plankina-Grantia" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Grantia_compressa" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Plakina_jani" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@metazoa_alignment" id="treeLikelihood.metazoa_alignment" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:metazoa_alignment" shape="@gammaShape.s:metazoa_alignment" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:metazoa_alignment" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:metazoa_alignment" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:metazoa_alignment" kappa="@kappa.s:metazoa_alignment" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@metazoa_alignment" id="empiricalFreqs.s:metazoa_alignment" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.metazoa_alignment	Tree.height	Tree.treeLength	mutationRate	gammaShape	kappa	CalibratedYuleModel	birthRateY	logP(mrca(Plankina-Grantia))	mrca.age(Plankina-Grantia)	clockRate
0	-96796.95063983915	-96777.97391089145	-18.9767289476978	-96777.97391089145	8.326217432214683	25.8720369660439	1.0	1.0	2.0	-8.785190897592951	1.0	-0.4110913754677259	5.6956153561503156	1.0
200	-85552.26981169185	-85534.5668047266	-17.703006965259945	-85534.5668047266	5.958712502789296	27.233355008297444	1.0	1.0	2.0	-6.6569907921090135	2.45980358648187	-0.3649282725680779	5.736241663711504	1.0
400	-78924.28514875505	-78893.02809493575	-31.2570538192967	-78893.02809493575	5.151489495080273	32.271331910234025	1.0	0.4378343076029878	3.358065517278977	-19.07251600246085	1.845328788419117	-1.850983515137389	5.098558886423339	1.3895038498204524
600	-77043.51860570215	-77004.05089772718	-39.467707974969755	-77004.05089772718	4.012289627799334	32.32620965956892	1.0	0.4378343076029878	3.358065517278977	-21.726475183230242	0.6650044166988752	-8.428457258766315	3.974825204319194	1.3895038498204524
800	-76640.82926589355	-76600.46998561126	-40.35928028229758	-76600.46998561126	3.81332236977289	30.89749887806372	1.0	0.4378343076029878	3.358065517278977	-20.95893399727839	0.6848975509058042	-10.058104750426642	3.78275921494959	1.3895038498204524
1000	-76536.09596910184	-76495.66384442452	-40.432124677324445	-76495.66384442452	3.69236423789971	29.83489148810778	1.0	0.4378343076029878	3.358065517278977	-19.317093123555544	1.322020548572567	-11.115163245991193	3.6666149167629376	1.3895038498204524
1200	-76257.6348951815	-76214.73590372996	-42.89899145154433	-76214.73590372996	5.807245228098332	52.24538042950316	1.0	0.4378343076029878	3.358065517278977	-32.45215541944218	0.6956676345206667	-1.0889965868554903	5.343035299954875	0.7894891044149804
1400	-76039.21060352215	-75995.24223382151	-43.96836970064683	-75995.24223382151	5.061395503186098	47.62768999566379	1.0	0.4378343076029878	3.358065517278977	-30.701055358512427	0.6956676345206667	-3.909474896887735	4.642855286964023	0.7894891044149804
1600	-75787.43272364125	-75740.84356752854	-46.58915611270763	-75740.84356752854	4.800789153990132	51.1775061131831	1.0	0.5705797461548212	1.9305367223860772	-33.52324428692503	0.3896479789303106	-4.685072007787069	4.506801979785946	0.4271009576887145
1800	-75633.03217881032	-75584.45072864513	-48.581450165192834	-75584.45072864513	4.255274538624802	49.26096975937626	1.0	0.5705797461548212	1.9305367223860772	-32.3568908076006	0.5904353393495396	-7.428317953925479	4.102300524150261	0.4271009576887145
2000	-75520.65889885361	-75464.9635266167	-55.69537223691016	-75464.9635266167	7.890328560163576	90.3190502292765	1.0	0.5705797461548212	1.9305367223860772	-44.773899591499415	0.3056957628311844	-2.783127471422377	7.130782056538228	0.22471540623129602
2200	-75323.82614328817	-75267.99258167796	-55.833561610217984	-75267.99258167796	8.818394198165754	91.69432561925274	1.0	0.5705797461548212	1.9305367223860772	-46.9318038819369	0.32717254825894404	-0.6955616408515526	5.5153504935487785	0.22471540623129602
2400	-75218.10283507155	-75162.30471720328	-55.79811786827258	-75162.30471720328	8.25860267385026	88.11342649755242	1.0	0.5705797461548212	1.9305367223860772	-46.07359087592824	0.32717254825894404	-1.5183309049148144	5.196090940382531	0.22471540623129602
2600	-75178.74453385871	-75123.70801819647	-55.03651566224077	-75123.70801819647	7.559889630221949	81.35846180813064	1.0	0.5705797461548212	1.9305367223860772	-44.15969566280918	0.32717254825894404	-2.670623912002065	4.8943706409114	0.22471540623129602
2800	-75163.66358529184	-75108.85044667817	-54.81313861366212	-75108.85044667817	8.446517823641255	81.59056063349308	1.0	0.5705797461548212	1.9305367223860772	-44.180106156226735	0.32717254825894404	-2.426836370005858	4.950942085163757	0.22471540623129602
3000	-75149.66961918358	-75089.84066747333	-59.82895171025424	-75089.84066747333	8.270816977051485	82.26088221823858	1.0	0.5705797461548212	1.9305367223860772	-45.10997007690839	0.32717254825894404	-6.512785545916325	4.227008997023448	0.22471540623129602
3200	-75147.95563878407	-75088.21681092304	-59.73882786103176	-75088.21681092304	8.192622523911771	83.14272973592252	1.0	0.5705797461548212	1.9305367223860772	-45.72287652034831	0.3634373372564135	-5.704704914979237	4.344869557657991	0.22471540623129602
3400	-75142.66111793528	-75081.35367761715	-61.30744031811802	-75081.35367761715	8.365527614065204	84.94817740360006	1.0	0.5705797461548212	1.9305367223860772	-47.72409651157139	0.43171025929525975	-5.100053483464649	4.438868658501162	0.22471540623129602
